biller_code,name_en,name_ar,category
189,Bayan Credit Bureau,شركة بيان للمعلومات الائتمانية,Banking & Finance
190,Public Pension Agency,المؤسسة العامة للتقاعد,Government Services
191,Saudi Railway Company,الشركة السعودية للخطوط الحديدية,Travel & Transportation
192,Presidency of Meteorology and Environment,الهيئة العامة للأرصاد وحماية البيئة,Government Services
193,Nesma Airlines,نسما للطيران,Travel & Transportation
195,Tawkelat Financing Company,شركة توكيلات للتمويل,Banking & Finance
196,Allied Cooperative Insurance Group - ACIG,المجموعة المتحدة للتأمين التعاوني (أسيج),Insurance
197,Tameeni,تأميني,Services
199,Takamol Holding Company,شركة تكامل القابضة,Services
200,King Abdulaziz & his Companions Foundation for Giftedness & Creativity - Mawhiba,مؤسسة الملك عبدالعزيز ورجاله للموهبة والإبداع - موهبة,Education
201,NatRec,الشركة الأهلية للاستقدام,Services
204,General Commission For Audiovisual Media,الهيئة العامة للاعلام المرئي والمسموع,Government Services
206,Haramain High Speed Rail,قطار الحرمين السريع,Travel & Transportation
207,STC Pay,STC Pay,Banking & Finance
208,Saudi contractors authority,الهيئة السعودية للمقاولين,Services
209,Tatweer Educational Technologies,تطوير لتقنيات التعليم,Education
210,Al Sahab National company,شركة السحاب الوطنية,Services
211,Taajeer for Finance,شركة التأجيير التمويلي,Banking & Finance
212,National Committee for Tobacco Control,اللجنة الوطنية لمكافحة التبغ,Government Services
213,Maharah Human Resources Company,شركة مهارة للموارد البشرية,Services
214,ESAD for Human Resources Solutions and Management,شركة إساد لحلول وإدارة الموارد البشرية,Services
215,University of Jeddah,جامعة جدة,Education
216,King Abdulaziz Foundation for Research and Archives,دارة الملك عبدالعزيز,Education
218,Qassim University,جامعة القصيم,Education
219,General Authority for Statistics,هيئة العامة للإحصاء,Government Services
221,Saudi Irrigation Organization,المؤسسة العامة للري,Government Services
222,General Directorate of Border Guard,حرس الحدود,Government Services
226,Najran Province Emirate,أمارة منطقة نجران,Government Services
227,General Commission for Survey,الهيئة العامة للمساحة,Government Services
229,Saline Water Conversion Corporation,المؤسسة العامة لتحلية المياه المالحة,Utilities
231,Royal Saudi Land Forces,لقوات البرية الملكية السعودية,Government Services
232,First Abu Dhabi Bank Payment Services,خدمة المدفوعات لبنك أبوظبي الأول,Banking & Finance
233,General Authority of State Properties,الهيئة العامة لعقارات الدولة,Government Services
234,Public Security Directorate,الأمن العام,Government Services
235,Saudi Geological Survey,هيئة المساحة الجيولوجية,Government Services
236,Hafr Al Batin Province Municipal,أمانة محافظة حفر الباطن,Government Services
237,Makkah Region Province Emirate,أمارة منطقة مكة المكرمة,Government Services
238,Alifta Council Senior Scholar,الرئاسة العامة للبحوث العلمية والإفتاء,Government Services
239,Saudi Wildlife Authority,الهيئة العامة للحياة الفطرية,Government Services
240,Makkah Region Development Authority,هيئة تطوير منطقة مكة المكرمة,Government Services
241,Ministry Of Education,وزارة التعليم,Education
242,Saudi Authority for Intellectual Property,الهيئة السعودية للملكية الفكرية,Government Services
247,King Fahad Security College,كلية الملك فهد الأمنية,Education
248,Royal Saudi Air Force,القوات الجوية الملكية السعودية,Government Services
249,King Khalid University,جامعة الملك خالد,Education
250,King Faisal Military City,مدينة الملك فيصل العسكرية,Government Services
251,Saudi Export Development Authority,هيئة تنمية الصادرات السعودية,Government Services
252,Saudi Arabian National Guard,وزارة الحرس الوطني,Government Services
253,Al Madinah Region Development Authority,هيئة تطوير منطقة المدينة المنورة,Government Services
254,The Saudi Red Crescent Authority,هيئة الهلال الأحمر السعودي,Government Services
255,Musaned,مساند,Government Services
256,Northern Border University,جامعة الحدود الشمالية,Education
257,King Faisal Specialist Hospital & Research Center,مستشفى الملك فيصل التخصصي ومركز الأبحاث,Services
258,Saudi Energy Efficiency Center,مركز كفاءة الطاقة السعودي,Government Services
259,Premium Residency Center,مركز الإقامة المميزة,Government Services
260,Rasid Jack,رصيد جاك,Services
261,Tasheel Finance (UCFS),تسهيل للتمويل,Banking & Finance
265,Royal Saudi Naval Forces,القوات البحرية الملكية السعودية,Government Services
266,General Authority for Competition,الهيئة العامة للمنافسة,Government Services
267,Ministry of Energy,وزارة الطاقة,Government Services
268,National Financing Services Company,الشركة الوطنية لخدمات التمويل,Banking & Finance
269,Nuclear and Radiological Regulatory Commission,هيئة الرقابة النووية والإشعاعية,Government Services
270,Ministry of Justice - Alimony Fund,صندوق النفقة - وزارة العدل,Government Services
272,Royal Commission for Jubail and Yanbu,الهيئة الملكية للجبيل وينبع,Government Services
275,General Entertainment Authority,الهيئة العامة للترفيه,Government Services
276,Saudi Central Board For Accreditation Of Healthcare,المركز السعودي لاعتماد المنشآت الصحية,Services
278,General Organization for Military Industries,المؤسسة العامة للصناعات العسكرية,Government Services
279,Saudi Center For Economic Business,المركز السعودي للأعمال الاقتصادية,Government Services
280,School Transportation,النقل المدرسي,Education
282,"Ministry of Environment, Water and Agriculture",البيئة والمياه والزراعة,Government Services
283,Prince Sultan University,جامعة الأمير سلطان,Education
285,National Cybersecurity Authority,الهيئة الوطنية للامن السيبراني,Government Services
287,National Center of Metrology,المركز الوطني للارصاد,Government Services
288,Saudi Accreditation Center,المركز السعودي للاعتماد,Government Services
289,Aljouf University,جامعة الجوف,Education
291,King Khalid Military Academy,كلية الملك خالد العسكرية,Education
293,General Authority for Military Industries,الهيئة العامة للصناعات العسكرية,Government Services
295,Saudi Broadcasting Authority,هيئة الإذاعة والتلفزيون,Media & Entertainment
297,Ministry of Sport,وزارة الرياضة,Government Services
298,The presidency of the Staff,رئاسة هيئة الأركان العامة,Government Services
303,King Abdullah Air Defense College,كلية الملك عبدالله للدفاع الجوي,Education
306,Saudi Press Agency,وكالة الانباء السعودية,Media & Entertainment
307,Aljouf Province Emirate,أمارة منطقة الجوف,Government Services
309,Albaha Emirates,إمارة منطقة الباحة,Government Services
312,Electronic Porperty Transfer,الإفراغ العقاري الإلكتروني,Government Services
313,Ministry Of National Guard Health Affairs,وزارة الحرس الوطني الشؤون الصحية,Government Services
314,MOI_PVP,لوحات المركبات المميزة,Government Services
343,Public Health Authority,هيئة الصحة العامة,Government Services
639,NAFT Services Co. Ltd,شركة خدمات النفط المحدودة,Utilities
901,Rosom,رسوم,Services
902,e-fa’a Payments,مدفوعات إيفاء,Government Services
903,EDAA,إيداع,Banking & Finance
904,The presidency of the Staff,رئاسة هيئة الأركان العامة,Government Services
905,University of Jeddah,جامعة جدة,Education
